#,Organization,Tier,Template,Template use,Email,Action,Official route,Named contact,Phone,Subject
38,The Plaza New York,2,C,Venue / hotel / hospitality,RFP-PLZ@fairmont.com,Confirm buyer then send Version C,Catering RFP email; call for vendor process,,212-759-3000,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
39,City Winery New York City,2,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Private-events page; separate talent route,,,
40,The Altman Building,2,C,Venue / hotel / hospitality,sales@altmanbldg.com,Send Version C,Direct sales email and phone,,212-741-3400,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
41,The Foundry,2,C,Venue / hotel / hospitality,ao@thefoundry.info,Confirm buyer then send Version C,Direct venue email and phone,,718-786-7776,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
42,Colin Cowie Lifestyle,2,B,Planner / experiential,No public email,Use official route then Version B,Dedicated vendor/creative-partner form,,212-396-9007,"NYC Live Jazz Partner for Receptions, Galas & Brand Experiences"
43,Jack Morton Worldwide - New York,2,B,Planner / experiential,experience@jackmorton.com,Confirm buyer then send Version B,Vendor inquiry form and general email,,+1 212-343-0800,"NYC Live Jazz Partner for Receptions, Galas & Brand Experiences"
44,Jarrell Entertainment,2,A,Agency roster,info@jarrellentertainment.com,Send Version A,Direct email and phone,,917-512-7674,"Artist Submission: Joshua Quddus Quartet - NYC Jazz for Corporate & Private Events"
45,The William Vale,2,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Event inquiry and main phone,,718-631-8400,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
46,Virgin Hotels New York City,2,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Official meeting/event inquiry,,,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
47,Wythe Hotel,2,C,Venue / hotel / hospitality,info@wythehotel.com,Confirm buyer then send Version C,Events contact page and general email,,718-460-8000,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
48,NYC DCAS - Halls of the City,2,C,Venue / hotel / hospitality,specialevents@dcas.nyc.gov,Confirm buyer then send Version C,Direct government special-events email and phone,,212-386-0041,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
49,Lincoln Center for the Performing Arts,2,D,Cultural institution,yourevent@lincolncenter.org,Confirm buyer then send Version D,Direct event email and inquiry,,212-875-5037,"Joshua Quddus Quartet - Contemporary Jazz in Conversation with Carnatic Music"
50,The Metropolitan Museum of Art,2,D,Cultural institution,specialevents@metmuseum.org OR MetCatering@restaurantassociates.com,Pick 1 email then send Version D,Direct special-events and catering emails,,212-570-3773,"Joshua Quddus Quartet - Contemporary Jazz in Conversation with Carnatic Music"
51,Total Entertainment,2,A,Agency roster,No public email,Use official route then Version A,Public talent invitation on contact page,,201-894-0055,"Artist Submission: Joshua Quddus Quartet - NYC Jazz for Corporate & Private Events"
52,Lotte New York Palace,2,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Meetings proposal site and main phone,,212-888-7000,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
53,Abigail Kirsch,2,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Official contact form,,,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
54,Bryant Park Events,2,C,Venue / hotel / hospitality,events@34bp.org,Send Version C,Direct events email,,,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
55,Wave Hill,2,D,Cultural institution,carolynl@wavehill.org OR abigail.parsons@wavehill.org,Pick 1 email then send Version D,Named corporate/private-event contacts,Carolyn Liv; Abigail Parsons,718-549-3200 x209,"Joshua Quddus Quartet - Contemporary Jazz in Conversation with Carnatic Music"
56,Center415,2,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Official contact form,,646-398-9100,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
57,Chelsea Industrial,2,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Current operator booking form,,,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
58,Gotham Hall,2,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Official contact form,,,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
59,Guastavino's,2,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Main phone; official form may be unreliable,,212-980-2711,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
60,The Times Center,2,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Venue phone/contact plus hospitality partner,,212-556-4288,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
61,Weylin,2,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Official form and main phone,,718-963-3639,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
62,LDJ Productions,2,B,Planner / experiential,info@ldjproductions.com,Confirm buyer then send Version B,General email and connect form,,212-371-4200,"NYC Live Jazz Partner for Receptions, Galas & Brand Experiences"
63,Queens Botanical Garden,2,D,Cultural institution,No public email,Use official route then Version D,Dedicated event-vendor application,,718-886-3800,"Joshua Quddus Quartet - Contemporary Jazz in Conversation with Carnatic Music"
64,Snug Harbor Cultural Center & Botanical Garden,2,D,Cultural institution,alombardi@snug-harbor.org,Send Version D,Named direct rentals contact,Adrianna Lombardi,718-425-3572,"Joshua Quddus Quartet - Contemporary Jazz in Conversation with Carnatic Music"
65,New York Marriott Marquis,2,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Event page; call convention services,,,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
66,"The Pierre, A Taj Hotel",2,C,Venue / hotel / hospitality,thepierre.ny@tajhotels.com,Confirm buyer then send Version C,Main hotel email and phone,,212-838-8000,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
67,The Liberty Warehouse,2,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Named contact and official form,Danielle Lesh,347-987-3121,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
68,David Stark Design and Production,2,B,Planner / experiential,info@davidstarkdesign.com,Confirm buyer then send Version B,Direct general email,,,"NYC Live Jazz Partner for Receptions, Galas & Brand Experiences"
69,EMRG Media,2,B,Planner / experiential,info@emrgmedia.com,Confirm buyer then send Version B,Direct email and phone,,212-254-3700,"NYC Live Jazz Partner for Receptions, Galas & Brand Experiences"
70,Twenty Three Layers,2,B,Planner / experiential,hello@23layers.com,Confirm buyer then send Version B,Direct general email and phone,,646-837-5902,"NYC Live Jazz Partner for Receptions, Galas & Brand Experiences"
71,National Arts Club,2,D,Cultural institution,No public email,Use official route then Version D,Vendor inquiry option on contact page,,212-475-3424,"Joshua Quddus Quartet - Contemporary Jazz in Conversation with Carnatic Music"
72,The Museum of Modern Art (MoMA),2,D,Cultural institution,No public email,Use official route then Version D,Corporate entertaining inquiry,,,"Joshua Quddus Quartet - Contemporary Jazz in Conversation with Carnatic Music"
73,The Shed,2,D,Cultural institution,No public email,Use official route then Version D,Official rentals inquiry plus USE relationship,,,"Joshua Quddus Quartet - Contemporary Jazz in Conversation with Carnatic Music"
74,PartySlate Pro,2,A,Agency roster,No public email,Use official route then Version A,Vendor registration / profile claim,,,"Artist Submission: Joshua Quddus Quartet - NYC Jazz for Corporate & Private Events"
75,The Peninsula New York,2,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Events phone and inquiry form; confirm vendor process,,212-903-3861,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
76,Blue Note New York - Private Events,2,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Private-event inquiry and main phone,,212-475-8592,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
77,Overlook at Bryant Park,2,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Venue-hospitality operator relationship,,,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
78,Eventique,2,B,Planner / experiential,No public email,Use official route then Version B,Main line to supplier contact; client RFP is not a vendor form,,212-616-1655,"NYC Live Jazz Partner for Receptions, Galas & Brand Experiences"
79,Jove Meyer Events,2,B,Planner / experiential,hello@jovemeyerevents.com,Confirm buyer then send Version B,Direct email and contact form,,949-412-4850,"NYC Live Jazz Partner for Receptions, Galas & Brand Experiences"
80,Asia Society and Museum,2,D,Cultural institution,celebratefood@greatperformances.com,Confirm buyer then send Version D,Venue hospitality partner plus separate programming outreach,,212-727-2424,"Joshua Quddus Quartet - Contemporary Jazz in Conversation with Carnatic Music"
81,Brooklyn Botanic Garden,2,D,Cultural institution,No public email,Use official route then Version D,Official private/corporate-events inquiry,,,"Joshua Quddus Quartet - Contemporary Jazz in Conversation with Carnatic Music"
82,Brooklyn Museum,2,D,Cultural institution,No public email,Use official route then Version D,Official rentals inquiry,,,"Joshua Quddus Quartet - Contemporary Jazz in Conversation with Carnatic Music"
83,Museum of the City of New York,2,D,Cultural institution,No public email,Use official route then Version D,Direct venue-rentals phone,,917-492-3327,"Joshua Quddus Quartet - Contemporary Jazz in Conversation with Carnatic Music"
84,Museum of the Moving Image,2,D,Cultural institution,No public email,Use official route then Version D,Direct private-events phone,,718-777-6868,"Joshua Quddus Quartet - Contemporary Jazz in Conversation with Carnatic Music"
85,New York Botanical Garden,2,D,Cultural institution,No public email,Use official route then Version D,Official private-events inquiry,,,"Joshua Quddus Quartet - Contemporary Jazz in Conversation with Carnatic Music"
86,1 Hotel Brooklyn Bridge,2,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Meetings inquiry and main phone,,347-696-2500,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
87,Ace Hotel Brooklyn,2,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Official hotel contact page,,,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
88,Manhattan Center,3,C,Venue / hotel / hospitality,sales@mc34.com,Confirm buyer then send Version C,Official venue contact,,646-293-1080,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
89,Sequence Events,3,B,Planner / experiential,info@sequence-events.com,Confirm buyer then send Version B,General email and main line,,646-336-6800,"NYC Live Jazz Partner for Receptions, Galas & Brand Experiences"
90,Sparks - New York,3,B,Planner / experiential,No public email,Use official route then Version B,Main contact; confirm supplier route,,,"NYC Live Jazz Partner for Receptions, Galas & Brand Experiences"
91,Giant Spoon,3,B,Planner / experiential,hello@giantspoon.com,Confirm buyer then send Version B,General email,,888-776-6650,"NYC Live Jazz Partner for Receptions, Galas & Brand Experiences"
92,INVNT,3,B,Planner / experiential,No public email,Use official route then Version B,Official contact form and main phone,,212-334-3415,"NYC Live Jazz Partner for Receptions, Galas & Brand Experiences"
93,MKG,3,B,Planner / experiential,No public email,Use official route then Version B,Official connect form,,,"NYC Live Jazz Partner for Receptions, Galas & Brand Experiences"
94,New York Public Library for the Performing Arts,3,D,Cultural institution,lparentals@nypl.org,Confirm buyer then send Version D,Direct rentals email and phone,,212-870-1698,"Joshua Quddus Quartet - Contemporary Jazz in Conversation with Carnatic Music"
95,Queens Museum,3,D,Cultural institution,No public email,Use official route then Version D,Official space-rental form,,,"Joshua Quddus Quartet - Contemporary Jazz in Conversation with Carnatic Music"
96,Four Seasons Hotel New York Downtown,3,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Hotel contact and meetings page,,646-880-1999,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
97,Park Hyatt New York,3,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Meetings page and hotel phone,,,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
98,"The Carlyle, A Rosewood Hotel",3,C,Venue / hotel / hospitality,thecarlyle@rosewoodhotels.com,Confirm buyer then send Version C,General email and phone,,212-744-1600,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
99,"The Ritz-Carlton New York, NoMad",3,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Event inquiry and main phone,,212-404-8400,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
100,The St. Regis New York,3,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Event page and hotel main line,,,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
101,B Floral Event Design & Production,3,B,Planner / experiential,No public email,Use official route then Version B,Official contact form,,,"NYC Live Jazz Partner for Receptions, Galas & Brand Experiences"
102,Fête NY,3,B,Planner / experiential,hello@feteny.com,Confirm buyer then send Version B,Direct email and contact form,,,"NYC Live Jazz Partner for Receptions, Galas & Brand Experiences"
103,American Museum of Natural History,3,D,Cultural institution,No public email,Use official route then Version D,Special-events phone and official inquiry,,212-769-5350,"Joshua Quddus Quartet - Contemporary Jazz in Conversation with Carnatic Music"
104,Jazz at Lincoln Center,3,D,Cultural institution,booking@jazz.org,Confirm buyer then send Version D,Direct booking email,,212-258-9535,"Joshua Quddus Quartet - Contemporary Jazz in Conversation with Carnatic Music"
105,Daughter of Design,3,B,Planner / experiential,info@daughterofdesign.com,Confirm buyer then send Version B,Direct email and phone,,646-595-9009,"NYC Live Jazz Partner for Receptions, Galas & Brand Experiences"
106,Solomon R. Guggenheim Museum,3,D,Cultural institution,No public email,Use official route then Version D,Official host-an-event inquiry,,,"Joshua Quddus Quartet - Contemporary Jazz in Conversation with Carnatic Music"
107,TSE Entertainment,3,A,Agency roster,No public email,Use official route then Version A,Formal artist representation application,,,"Artist Submission: Joshua Quddus Quartet - NYC Jazz for Corporate & Private Events"
108,New-York Historical Society,3,D,Cultural institution,No public email,Use official route then Version D,Official event inquiry,,,"Joshua Quddus Quartet - Contemporary Jazz in Conversation with Carnatic Music"
109,The Apollo,3,D,Cultural institution,No public email,Use official route then Version D,Official venue-rental page,,,"Joshua Quddus Quartet - Contemporary Jazz in Conversation with Carnatic Music"
110,Carnegie Hall Event Spaces,3,D,Cultural institution,No public email,Use official route then Version D,Official event-space request form; call to qualify vendor route,,,"Joshua Quddus Quartet - Contemporary Jazz in Conversation with Carnatic Music"
111,Baccarat Hotel New York,3,C,Venue / hotel / hospitality,No public email,Use official route then Version C,Private-event information request; call first,,,"Preferred Entertainment Vendor Inquiry - Joshua Quddus Quartet"
